"StichtagDatJahr","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"(Karl) Kaiser Karl vom Edersee",2013,"1","männlich",1,1
2015,"?",2009,"2","weiblich",2,1
2015,"?",2010,"2","weiblich",2,2
2015,"?",2011,"1","männlich",1,1
2015,"A-Diana",2006,"2","weiblich",2,1
2015,"A-nan",2009,"1","männlich",1,1
2015,"Aaliyah",2005,"2","weiblich",2,1
2015,"Aaliyah",2011,"2","weiblich",2,1
2015,"Aaran vom Blauort",2010,"1","männlich",1,1
2015,"Aaron",2005,"1","männlich",1,2
2015,"Aaron",2011,"1","männlich",1,2
2015,"Abba",2011,"2","weiblich",2,1
2015,"Abbey",2011,"2","weiblich",2,1
2015,"Abby",2010,"2","weiblich",2,1
2015,"Abby (Abbygail)",2013,"2","weiblich",2,1
2015,"Abenaki Cayla",2014,"2","weiblich",2,1
2015,"Abenaki Cibor",2014,"1","männlich",1,1
2015,"Abisko vom Nünbrunnental",2014,"1","männlich",1,1
2015,"Abraxa",2007,"2","weiblich",2,1
2015,"Abraxas",2004,"1","männlich",1,1
2015,"Achat",2005,"1","männlich",1,1
2015,"Achilles",2004,"1","männlich",1,1
2015,"Acoma",2014,"2","weiblich",2,1
2015,"Acqua",2005,"1","männlich",1,1
2015,"Addison",2009,"2","weiblich",2,1
2015,"Adela",2004,"2","weiblich",2,1
2015,"Adonis",2013,"1","männlich",1,1
2015,"Affra vom Wiler-Berg",2012,"2","weiblich",2,1
2015,"Afra",2003,"2","weiblich",2,1
2015,"Agata",2002,"2","weiblich",2,1
2015,"Agathe / Stormy Heaven's Aila",2011,"2","weiblich",2,1
2015,"Ahab v. Pirateprincessbulldogs",2015,"1","männlich",1,1
2015,"Aicha",2003,"2","weiblich",2,1
2015,"Aichan",2003,"1","männlich",1,1
2015,"Aicko",2004,"1","männlich",1,1
2015,"Aico v. Lindenberg",2009,"1","männlich",1,1
2015,"Aida",2009,"2","weiblich",2,1
2015,"Aika",2002,"2","weiblich",2,1
2015,"Aika",2003,"2","weiblich",2,1
2015,"Aika",2004,"2","weiblich",2,1
2015,"Aiko",2003,"1","männlich",1,1
2015,"Aiko",2004,"1","männlich",1,2
2015,"Aiko",2007,"2","weiblich",2,1
2015,"Aiko",2010,"1","männlich",1,1
2015,"Aiko",2012,"1","männlich",1,1
2015,"Aila",2008,"2","weiblich",2,1
2015,"Aira",2004,"2","weiblich",2,1
2015,"Aischa",2000,"2","weiblich",2,1
2015,"Aischa",2003,"2","weiblich",2,1
2015,"Aischa",2004,"2","weiblich",2,2
2015,"Aischa",2007,"2","weiblich",2,1
2015,"Aischa",2008,"2","weiblich",2,1
2015,"Aisha",2001,"2","weiblich",2,1
2015,"Aisha",2004,"2","weiblich",2,3
2015,"Aisha",2006,"2","weiblich",2,1
2015,"Aisha",2008,"2","weiblich",2,1
2015,"Aisha",2010,"2","weiblich",2,1
2015,"Aisha",2013,"2","weiblich",2,1
2015,"Aisha Kianga",2012,"2","weiblich",2,1
2015,"Aiso",2000,"2","weiblich",2,1
2015,"Ajani",2014,"1","männlich",1,1
2015,"Ajax",2005,"1","männlich",1,1
2015,"Ajla",2013,"2","weiblich",2,1
2015,"Ajoya",2004,"2","weiblich",2,1
2015,"Ajscha",2014,"2","weiblich",2,1
